name1,name2,name3,name4,name5,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
monocyte (cell),LOCATION_OF,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),5.84e-22,229.0,12,14,0,22.29,2.0
monocyte (cell),LOCATION_OF,Vitamin D3 Receptor (gngm),PREDISPOSES,Malignant neoplasm of prostate (neop),1.5e-20,228.23,12,13,0,23.08,2.0
monocyte (cell),LOCATION_OF,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.5e-09,240.5,12,6,0,9.0,2.0
Femur (bpoc),LOCATION_OF,loss; bone (patf),PROCESS_OF,Cancer Patient (humn),9.24e-07,52.91,10,5,0,7.5,1.0
Cholecalciferol (phsu),INTERACTS_WITH,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),3.88e-38,255.8,20,35,0,31.43,8.0
Cholecalciferol (phsu),INTERACTS_WITH,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),3.88e-38,246.82,20,28,0,34.29,4.0
"Administration, Oral (topp)",USES,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.73e-19,293.26,10,35,0,12.86,6.0
"Administration, Oral (topp)",USES,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),1.73e-19,284.28,10,28,0,13.57,4.0
Vitamin D3 Receptor (gngm),INTERACTS_WITH,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.83e-36,263.39,19,35,0,29.31,8.0
Vitamin D3 Receptor (gngm),INTERACTS_WITH,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),1.83e-36,254.41,19,28,0,31.89,4.0
Femur (bpoc),LOCATION_OF,Neck (blor),LOCATION_OF,Prostate (bpoc),3.26e-17,61.36,1108,12,0,12.13,2.0
Femur (bpoc),LOCATION_OF,Neck (blor),LOCATION_OF,"Preservation, Biological (lbpr)",1.29e-78,38.76,1108,63,0,66.58,2.0
Femur (bpoc),LOCATION_OF,Neck (blor),LOCATION_OF,Malignant neoplasm of prostate (neop),2.68e-09,90.06,1108,6,0,6.03,2.0
Femur (bpoc),LOCATION_OF,Neck (blor),LOCATION_OF,Bladder stenosis (anab),8.3e-19,30.7,1108,17,0,17.26,2.0
Femur (bpoc),LOCATION_OF,Neck (blor),LOCATION_OF,Surgical margins (bpoc),2.15e-17,63.75,1108,12,0,12.13,2.0
Cytochrome P450 (aapp),INTERACTS_WITH,Cholecalciferol (phsu),TREATS,Malignant neoplasm of prostate (neop),4.71e-06,166.43,11,4,0,5.45,4.0
Osteopenia (dsyn),ISA,Bone Diseases (dsyn),COEXISTS_WITH,Malignant neoplasm of prostate (neop),4.56e-09,105.56,12,6,0,9.0,5.0
Supplementation (topp),USES,Nutrients (food),PREDISPOSES,Malignant neoplasm of prostate (neop),1.5e-09,113.37,14,6,0,8.57,6.0
Calcium (bacs),COEXISTS_WITH,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),3.37e-08,164.41,5,35,0,5.71,8.0
Calcium (bacs),COEXISTS_WITH,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),3.37e-08,155.44,5,28,0,5.89,4.0
Epithelial Cells (cell),PRODUCES,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.59e-09,266.09,4,13,1,5.23,8.0
Epithelial Cells (cell),PRODUCES,Vitamin D3 Receptor (gngm),PREDISPOSES,Malignant neoplasm of prostate (neop),1.59e-09,265.32,5,13,0,6.92,20.0
Epithelial Cells (cell),PRODUCES,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),3.09e-09,277.59,4,5,1,7.2,8.0
physiological aspects (phsf),ASSOCIATED_WITH,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.59e-09,272.63,5,35,0,5.71,8.0
physiological aspects (phsf),ASSOCIATED_WITH,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),1.59e-09,263.65,5,28,0,5.89,4.0
"PTH protein, human|PTH (aapp)",INTERACTS_WITH,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),6.79e-31,272.66,16,35,0,23.31,8.0
"PTH protein, human|PTH (aapp)",INTERACTS_WITH,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),6.79e-31,263.68,16,28,0,25.14,4.0
Vitamin D2 (phsu),TREATS,Vitamin D Deficiency (dsyn),PREDISPOSES,Malignant neoplasm of prostate (neop),3.77e-16,266.71,16,10,0,16.25,4.0
Osteoblasts (cell),LOCATION_OF,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),3.27e-22,222.83,23,14,0,22.52,2.0
Osteoblasts (cell),LOCATION_OF,Vitamin D3 Receptor (gngm),PREDISPOSES,Malignant neoplasm of prostate (neop),1.47e-20,222.07,23,13,0,20.35,2.0
Osteoblasts (cell),LOCATION_OF,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.5e-09,234.34,23,6,0,7.57,2.0
Calcium (bacs),PART_OF,Entire tibia (bpoc),PART_OF,SCID Mice (mamm),3.01e-07,92.89,8,5,0,8.12,3.0
Calcium (bacs),PART_OF,Entire tibia (bpoc),PART_OF,"Mice, Nude (mamm)",3.79e-08,59.21,8,7,0,13.12,3.0
"PTH protein, human|PTH (aapp)",INHIBITS,Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),2.33e-18,132.4,12,15,0,21.6,8.0
"PTH protein, human|PTH (aapp)",INHIBITS,Calcium (bacs),PART_OF,Protoplasm (celc),2.44e-06,55.89,12,41,0,15.51,3.0
"PTH protein, human|PTH (aapp)",INHIBITS,Calcium (bacs),PART_OF,Coronary artery (bpoc),5.91e-07,55.68,12,1,0,1.08,3.0
"PTH protein, human|PTH (aapp)",INHIBITS,Calcium (bacs),PREDISPOSES,Malignant neoplasm of prostate (neop),2.33e-18,143.91,12,23,0,18.26,13.0
Vitamin D (phsu),INTERACTS_WITH,Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.33e-23,251.07,31,15,0,22.26,8.0
Vitamin D (phsu),INTERACTS_WITH,Calcium (bacs),PART_OF,Protoplasm (celc),2.44e-06,174.56,31,41,0,54.44,3.0
Vitamin D (phsu),INTERACTS_WITH,Calcium (bacs),PART_OF,Coronary artery (bpoc),5.91e-07,174.35,31,1,0,1.03,3.0
Vitamin D (phsu),INTERACTS_WITH,Calcium (bacs),PREDISPOSES,Malignant neoplasm of prostate (neop),2.19e-37,262.58,31,23,0,40.06,10.0
dihydroxy-vitamin D3 (orch),INTERACTS_WITH,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),4.91e-57,272.7,32,35,0,61.26,8.0
dihydroxy-vitamin D3 (orch),INTERACTS_WITH,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),1.36e-44,263.72,32,28,0,52.5,4.0
Ovary (bpoc),LOCATION_OF,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.32e-07,266.08,4,14,0,5.14,2.0
Ovary (bpoc),LOCATION_OF,Vitamin D3 Receptor (gngm),PREDISPOSES,Malignant neoplasm of prostate (neop),1.32e-07,265.32,4,13,0,5.23,2.0
Ovary (bpoc),LOCATION_OF,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.34e-07,277.59,4,6,0,6.67,2.0
Impaired cognition (fndg),COEXISTS_WITH,Vitamin D Deficiency (dsyn),PREDISPOSES,Malignant neoplasm of prostate (neop),2.25e-07,240.49,4,10,0,5.6,9.0
"PTH protein, human|PTH (aapp)",INTERACTS_WITH,Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.31e-14,149.33,9,15,0,14.4,8.0
"PTH protein, human|PTH (aapp)",INTERACTS_WITH,Calcium (bacs),PART_OF,Protoplasm (celc),2.44e-06,72.83,9,41,0,10.98,3.0
"PTH protein, human|PTH (aapp)",INTERACTS_WITH,Calcium (bacs),PART_OF,Coronary artery (bpoc),5.91e-07,72.62,9,1,0,1.11,3.0
"PTH protein, human|PTH (aapp)",INTERACTS_WITH,Calcium (bacs),PREDISPOSES,Malignant neoplasm of prostate (neop),1.31e-14,160.85,9,23,0,12.52,10.0
VITAMIN D AND METABOLITES (bacs),INTERACTS_WITH,Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),9.24e-23,248.0,12,15,0,21.6,8.0
VITAMIN D AND METABOLITES (bacs),INTERACTS_WITH,Calcium (bacs),PART_OF,Protoplasm (celc),2.44e-06,171.49,12,41,0,15.51,3.0
VITAMIN D AND METABOLITES (bacs),INTERACTS_WITH,Calcium (bacs),PART_OF,Coronary artery (bpoc),5.91e-07,171.28,12,1,0,1.08,3.0
VITAMIN D AND METABOLITES (bacs),INTERACTS_WITH,Calcium (bacs),PREDISPOSES,Malignant neoplasm of prostate (neop),7.91e-23,259.51,12,23,0,18.26,10.0
Rickets (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,Single Nucleotide Polymorphism (nusq),3.41e-11,162.14,6,30,0,7.2,1.0
Rickets (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,Prostate-Specific Antigen (aapp),3.29e-11,241.91,6,45,0,6.8,1.0
Rickets (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,FLVCR1 (gngm),3.29e-11,239.59,6,14,0,8.57,1.0
Rickets (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,ERG gene|ERG (aapp),3.37e-11,251.09,6,8,0,10.5,1.0
Rickets (dsyn),PROCESS_OF,cohort (popg),USES,Tissue Microarray (resd),1.59e-06,171.65,6,7,0,11.14,1.0
Rickets (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,Insulin-Like Growth Factor I (aapp),7.17e-08,173.46,6,8,0,10.5,1.0
Rickets (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,KLK3 gene|KLK3 (aapp),3.29e-11,214.26,6,12,0,9.0,1.0
Rickets (dsyn),PROCESS_OF,cohort (popg),USES,Gleason grading system for prostatic cancer (clas),3.29e-11,244.96,6,14,0,8.57,1.0
Phosphorus (elii),INTERACTS_WITH,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),6.99e-30,319.04,15,35,0,21.43,8.0
Phosphorus (elii),INTERACTS_WITH,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),6.99e-30,310.06,15,28,0,23.04,4.0
Pregnancy (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,Single Nucleotide Polymorphism (nusq),1.23e-12,9.24,30,30,0,60.0,1.0
Pregnancy (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,Prostate-Specific Antigen (aapp),2.62e-20,89.01,30,45,0,50.0,1.0
Pregnancy (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,FLVCR1 (gngm),2.65e-20,86.69,30,14,0,20.53,1.0
Pregnancy (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,ERG gene|ERG (aapp),7.62e-13,98.2,30,8,0,10.13,1.0
Pregnancy (orgf),PROCESS_OF,cohort (popg),USES,Tissue Microarray (resd),1.59e-06,18.76,30,7,0,8.63,1.0
Pregnancy (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,Insulin-Like Growth Factor I (aapp),7.16e-08,20.56,30,8,0,10.13,1.0
Pregnancy (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,KLK3 gene|KLK3 (aapp),1.4e-17,61.37,30,12,0,16.8,1.0
Pregnancy (orgf),PROCESS_OF,cohort (popg),USES,Gleason grading system for prostatic cancer (clas),2.64e-20,92.06,30,14,0,20.53,1.0
Total thyroidectomy (topp),PRECEDES,Prophylactic treatment (topp),USES,zoledronic acid (phsu),2.41e-08,112.42,5,18,0,6.39,6.0
Total thyroidectomy (topp),PRECEDES,Prophylactic treatment (topp),TREATS,Malignant neoplasm of prostate (neop),2.41e-08,168.59,5,43,0,5.58,4.0
Total thyroidectomy (topp),PRECEDES,Prophylactic treatment (topp),AFFECTS,Malignant neoplasm of prostate (neop),2.41e-08,176.4,5,10,0,7.5,7.0
Total thyroidectomy (topp),PRECEDES,Prophylactic treatment (topp),USES,Diphosphonates (phsu),2.41e-08,97.78,5,26,0,5.96,6.0
Total thyroidectomy (topp),PRECEDES,Prophylactic treatment (topp),TREATS,Secondary malignant neoplasm of bone (neop),2.41e-08,120.03,5,19,0,6.32,4.0
Intestines (bpoc),LOCATION_OF,Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.85e-11,153.13,7,15,0,10.27,2.0
Intestines (bpoc),LOCATION_OF,Calcium (bacs),PART_OF,Protoplasm (celc),2.44e-06,76.62,7,41,0,8.2,2.0
Intestines (bpoc),LOCATION_OF,Calcium (bacs),PART_OF,Coronary artery (bpoc),5.91e-07,76.41,7,1,0,1.14,2.0
Intestines (bpoc),LOCATION_OF,Calcium (bacs),PREDISPOSES,Malignant neoplasm of prostate (neop),1.85e-11,164.64,7,23,0,9.13,2.0
Overweight (sosy),ASSOCIATED_WITH,Vitamin D Deficiency (dsyn),PREDISPOSES,Malignant neoplasm of prostate (neop),1.32e-07,277.59,4,10,0,5.6,8.0
Osteocalcin (aapp),PART_OF,Osteoblasts (cell),LOCATION_OF,Secondary malignant neoplasm of bone (neop),2.33e-17,79.82,13,98,0,14.72,2.0
Osteocalcin (aapp),PART_OF,Osteoblasts (cell),LOCATION_OF,Bone lesion (dsyn),2.33e-17,80.67,13,15,0,24.27,2.0
Osteocalcin (aapp),PART_OF,Osteoblasts (cell),LOCATION_OF,Neoplasm Metastasis (neop),2.33e-17,68.29,13,114,0,14.48,2.0
Osteocalcin (aapp),PART_OF,Osteoblasts (cell),PRODUCES,Glycoproteins (aapp),1.52e-07,45.96,13,8,0,12.92,3.0
Bone structure of ischium (bpoc),LOCATION_OF,loss; bone (patf),PROCESS_OF,Cancer Patient (humn),6.79e-07,75.27,40,5,0,5.62,1.0
Mixed Function Oxygenases (aapp),STIMULATES,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),6.76e-13,231.41,7,35,0,8.4,8.0
Mixed Function Oxygenases (aapp),STIMULATES,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),6.76e-13,222.43,7,28,0,8.75,4.0
Osteomalacia (dsyn),COEXISTS_WITH,Vitamin D Deficiency (dsyn),PREDISPOSES,Malignant neoplasm of prostate (neop),3.77e-16,223.04,12,10,0,18.33,9.0
Calcium (bacs),STIMULATES,Alkaline Phosphatase (aapp),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.19e-12,156.61,8,12,0,13.33,8.0
Calcium (bacs),STIMULATES,Alkaline Phosphatase (aapp),PREDISPOSES,Secondary malignant neoplasm of bone (neop),1.09e-10,103.3,8,8,0,16.0,12.0
DMD|BEST1 (gngm),PART_OF,Neck (blor),LOCATION_OF,Prostate (bpoc),3.26e-17,64.86,35,12,0,16.11,2.0
DMD|BEST1 (gngm),PART_OF,Neck (blor),LOCATION_OF,"Preservation, Biological (lbpr)",1.1e-35,42.26,35,63,0,54.44,2.0
DMD|BEST1 (gngm),PART_OF,Neck (blor),LOCATION_OF,Malignant neoplasm of prostate (neop),2.68e-09,93.55,35,6,0,7.03,2.0
DMD|BEST1 (gngm),PART_OF,Neck (blor),LOCATION_OF,Bladder stenosis (anab),8.3e-19,34.2,35,17,0,25.26,2.0
DMD|BEST1 (gngm),PART_OF,Neck (blor),LOCATION_OF,Surgical margins (bpoc),2.15e-17,67.25,35,12,0,16.11,2.0
Birth (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,Single Nucleotide Polymorphism (nusq),9.15e-07,5.38,21,30,0,35.7,1.0
Birth (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,Prostate-Specific Antigen (aapp),9.15e-07,85.14,21,45,0,30.8,1.0
Birth (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,FLVCR1 (gngm),9.15e-07,82.82,21,14,0,23.33,1.0
Birth (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,ERG gene|ERG (aapp),9.15e-07,94.33,21,8,0,11.05,1.0
Birth (orgf),PROCESS_OF,cohort (popg),USES,Tissue Microarray (resd),2.51e-06,14.89,21,7,0,9.33,1.0
Birth (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,Insulin-Like Growth Factor I (aapp),9.87e-07,16.7,21,8,0,11.05,1.0
Birth (orgf),PROCESS_OF,cohort (popg),LOCATION_OF,KLK3 gene|KLK3 (aapp),9.15e-07,57.5,21,12,0,18.86,1.0
Birth (orgf),PROCESS_OF,cohort (popg),USES,Gleason grading system for prostatic cancer (clas),9.15e-07,88.2,21,14,0,23.33,1.0
Glucocorticoids (horm),CAUSES,loss; bone (patf),PROCESS_OF,Cancer Patient (humn),6.79e-07,89.11,13,5,0,6.92,1.0
"PTH protein, human|PTH (aapp)",TREATS,Bone Diseases (dsyn),COEXISTS_WITH,Malignant neoplasm of prostate (neop),5.04e-09,154.68,6,6,0,12.0,4.0
Column (bpoc),LOCATION_OF,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.32e-07,272.63,4,35,0,4.46,2.0
Column (bpoc),LOCATION_OF,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),1.32e-07,263.65,4,28,0,4.57,2.0
Caucasoid Race (popg),ISA,Ethnic group (popg),LOCATION_OF,Prostate-Specific Antigen (aapp),6.51e-08,94.57,30,5,0,5.83,2.0
Vitamin D (phsu),INTERACTS_WITH,Calcitriol (horm),ISA,Dihydroxycholecalciferols (phsu),2.35e-07,194.74,13,9,0,15.23,5.0
Calcium-Binding Proteins (aapp),INTERACTS_WITH,Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),2.85e-12,112.26,9,15,0,14.4,8.0
Calcium-Binding Proteins (aapp),INTERACTS_WITH,Calcium (bacs),PART_OF,Protoplasm (celc),2.44e-06,35.76,9,41,0,10.98,3.0
Calcium-Binding Proteins (aapp),INTERACTS_WITH,Calcium (bacs),PART_OF,Coronary artery (bpoc),5.91e-07,35.55,9,1,0,1.11,3.0
Calcium-Binding Proteins (aapp),INTERACTS_WITH,Calcium (bacs),PREDISPOSES,Malignant neoplasm of prostate (neop),2.85e-12,123.78,9,23,0,12.52,10.0
Lithocholic Acid (bacs),INTERACTS_WITH,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),3.34e-19,266.1,10,14,0,17.14,8.0
Lithocholic Acid (bacs),INTERACTS_WITH,Vitamin D3 Receptor (gngm),PREDISPOSES,Malignant neoplasm of prostate (neop),3.48e-19,265.33,10,13,0,17.69,10.0
Lithocholic Acid (bacs),INTERACTS_WITH,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.5e-09,277.6,10,6,0,9.6,8.0
Osteoporosis (dsyn),CAUSES,loss; bone (patf),PROCESS_OF,Cancer Patient (humn),6.92e-07,71.01,7,5,0,8.57,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,high-risk group (popg),3.58e-07,81.63,11,19,0,17.37,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),OCCURS_IN,Participant (humn),5.07e-06,79.22,11,4,0,5.45,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,"Rats, Sprague-Dawley (mamm)",3.12e-06,97.64,11,4,0,5.45,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Aggressive behavior (mobd),3.58e-07,87.41,11,8,0,13.82,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),AFFECTS,Aggressive behavior (mobd),3.61e-07,84.48,11,6,0,9.27,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Adenocarcinoma (neop),3.58e-07,82.29,11,10,0,19.09,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Chronic inflammation (patf),3.58e-07,88.43,11,9,0,16.36,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Elderly man (aggp),3.6e-07,97.64,11,6,0,9.27,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PART_OF,Uterus (bpoc),3.61e-07,84.48,11,6,0,9.27,3.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Diabetes Mellitus (dsyn),3.58e-07,91.07,11,13,0,20.31,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Disease Progression (patf),3.58e-07,91.07,11,13,0,20.31,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Population Group (popg),3.58e-07,132.19,11,33,0,14.67,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PART_OF,Prostate (bpoc),3.58e-07,87.8,11,50,0,13.42,3.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Benign prostatic hypertrophy (neop),3.58e-07,86.69,11,37,0,14.27,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Surgical Patients (podg),3.61e-07,84.48,11,6,0,9.27,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),ISA,Prostatic Diseases (dsyn),3.58e-07,90.39,11,35,0,14.46,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Veterans (popg),3.58e-07,79.24,11,32,0,14.78,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,organ donor (popg),5.07e-06,79.22,11,4,0,5.45,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Secondary malignant neoplasm of bone (neop),3.58e-07,97.64,11,10,0,19.09,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),AFFECTS,Cell Cycle (celf),3.58e-07,86.13,11,7,0,11.45,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PRODUCES,parathyroid hormone-related protein (aapp),3.58e-07,97.64,11,7,0,11.45,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),AFFECTS,Couples (humn),3.61e-07,84.48,11,6,0,9.27,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PRODUCES,Androgens (horm),3.58e-07,83.48,11,11,0,22.0,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),AFFECTS,Cell Death (celf),3.12e-06,97.64,11,4,0,5.45,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,father (humn),3.58e-07,75.07,11,40,0,14.03,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,"Mice, Transgenic (mamm)",3.58e-07,80.6,11,22,0,16.5,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),AFFECTS,Tumorigenesis (neop),3.58e-07,85.37,11,13,0,20.31,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Population at Risk (popg),3.58e-07,89.97,11,11,0,22.0,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Clinicians (humn),5.07e-06,79.22,11,4,0,5.45,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),AFFECTS,Pathogenesis (patf),3.58e-07,91.23,11,40,0,14.03,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,member (popg),3.58e-07,97.64,11,14,0,19.64,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),AFFECTS,Prostate cancer metastatic (neop),3.12e-06,97.64,11,4,0,5.45,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),AFFECTS,cohort (popg),3.61e-07,84.48,11,6,0,9.27,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Electromagnetic Energy (npop),4.72e-07,82.29,11,5,0,7.27,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PRODUCES,Androgen Receptor|AR (aapp),3.61e-07,84.48,11,6,0,9.27,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Ethnic group (popg),3.58e-07,90.39,11,35,0,14.46,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),AFFECTS,"Transcription, Genetic (genf)",3.6e-07,97.64,11,6,0,9.27,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Neoplasm progression (neop),3.58e-07,82.91,11,21,0,16.76,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,African race (popg),3.58e-07,79.94,11,21,0,16.76,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Homosexuals (popg),3.66e-07,66.95,11,6,0,9.27,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PART_OF,Breast (bpoc),3.58e-07,89.97,11,11,0,22.0,3.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Xenograft Model (emod),3.58e-07,84.06,11,138,0,11.88,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),ISA,Solid tumor (neop),3.58e-07,92.06,11,77,0,12.57,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),AFFECTS,Carcinogenesis (neop),3.58e-07,93.64,11,22,0,16.5,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),AFFECTS,Germ-Line Mutation (genf),3.58e-07,97.64,11,8,0,13.82,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Asians (popg),3.58e-07,80.8,11,58,0,13.09,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,"Recipient, Transplant (podg)",3.58e-07,81.4,11,28,0,15.32,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Prostatic Neoplasms (neop),3.58e-07,97.64,11,10,0,19.09,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Males (popg),3.58e-07,118.58,11,27,0,15.48,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),ISA,Cancer of Urinary Tract (neop),3.58e-07,87.41,11,8,0,13.82,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Urologist (humn),3.58e-07,89.28,11,20,0,17.05,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PART_OF,Solid organ (bpoc),4.72e-07,82.29,11,5,0,7.27,3.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,cohort (popg),3.58e-07,88.4,11,351,0,11.34,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,Donor person (humn),3.58e-07,97.64,11,7,0,11.45,1.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Oxidative Stress (comd),3.6e-07,97.64,11,6,0,9.27,4.0
docetaxel (orch),TREATS,Malignant neoplasm of prostate (neop),PROCESS_OF,General Population (popg),3.58e-07,87.97,11,51,0,13.37,1.0
